Multi-level Priority Algorithm (RR, 2xRR, FCFS),,,,,,
PID,Burst,Priority,Arrival,Start,Finish,Wait,Response,Turnaround
101,32,4,29,74,224,164,45,196
102,32,4,44,72,232,157,28,189
103,27,5,101,103,242,115,2,142
104,10,2,134,134,143,0,0,10
105,21,3,159,159,179,0,0,21
106,7,5,190,193,223,27,3,34
107,23,5,225,227,358,111,2,134
108,45,6,238,240,455,173,2,218
109,56,3,270,270,325,0,0,56
110,45,4,306,327,651,301,21,346
111,51,8,355,3511,3561,3156,3156,3207
112,24,5,397,399,628,208,2,232
113,43,4,408,411,899,449,3,492
114,37,4,451,454,977,490,3,527
115,30,1,477,477,506,0,0,30
116,44,3,521,521,572,8,0,52
117,58,3,557,557,622,8,0,66
118,69,4,587,625,1269,614,38,683
119,18,3,630,630,647,0,0,18
120,28,6,658,660,1025,340,2,368
121,37,2,706,706,750,8,0,45
122,48,3,735,735,833,51,0,99
123,32,2,764,764,843,48,0,80
124,32,2,786,787,854,37,1,69
125,40,4,820,857,1219,360,37,400
126,22,5,862,866,1061,178,4,200
127,41,2,902,902,953,11,0,52
128,18,2,932,932,960,11,0,29
129,31,0,989,989,1019,0,0,31
130,14,3,1039,1039,1052,0,0,14
131,60,3,1062,1062,1138,17,0,77
132,45,4,1089,1149,1313,180,60,225
133,26,3,1105,1105,1147,17,0,43
134,82,6,1152,1154,1448,215,2,297
135,3,6,1194,1197,1207,11,3,14
136,17,3,1235,1235,1251,0,0,17
137,12,3,1300,1300,1311,0,0,12
138,59,4,1308,1312,1599,233,4,292
139,48,5,1337,1338,1598,214,1,262
140,26,5,1379,1381,1581,177,2,203
141,8,3,1401,1401,1408,0,0,8
142,21,4,1417,1420,1589,152,3,173
143,23,3,1461,1461,1483,0,0,23
144,42,2,1493,1493,1542,8,0,50
145,20,3,1527,1527,1554,8,0,28
146,51,7,1562,3562,3612,2000,2000,2051
147,50,5,1600,1600,1883,234,0,284
148,22,4,1632,1632,1912,259,0,281
149,40,3,1642,1642,1707,26,0,66
150,48,3,1656,1656,1729,26,0,74
151,22,5,1664,1730,1940,255,66,277
152,43,5,1693,1731,2210,475,38,518
153,39,4,1724,1732,2172,410,8,449
154,65,4,1752,1756,2560,744,4,809
155,23,2,1776,1776,1798,0,0,23
156,48,2,1805,1805,1852,0,0,48
157,60,5,1835,1857,2552,658,22,718
158,38,4,1856,1862,2289,396,6,434
159,35,4,1905,1911,2333,394,6,429
160,17,1,1947,1947,1963,0,0,17
161,25,4,1974,1979,2305,307,5,332
162,13,4,2016,2022,2213,185,6,198
163,81,0,2058,2058,2138,0,0,81
164,38,5,2079,2145,2626,510,66,548
165,20,6,2104,2146,2362,239,42,259
166,46,5,2150,2159,3045,850,9,896
167,35,4,2200,2209,2655,421,9,456
168,31,0,2243,2243,2273,0,0,31
169,29,5,2284,2291,2639,327,7,356
170,34,5,2304,2311,3037,700,7,734
171,32,5,2324,2332,3039,684,8,716
172,68,5,2345,2353,3420,1008,8,1076
173,24,4,2356,2364,2752,373,8,397
174,49,4,2396,2405,3311,867,9,916
175,56,4,2445,2455,3418,918,10,974
176,51,3,2484,2484,2534,0,0,51
177,14,4,2542,2563,3029,474,21,488
178,34,4,2573,2583,3276,670,10,704
179,43,5,2606,2617,3379,731,11,774
180,41,4,2629,2651,3392,723,22,764
181,51,3,2677,2677,2742,15,0,66
182,17,2,2713,2713,2744,15,0,32
183,43,3,2761,2761,2815,12,0,55
184,27,2,2792,2792,2839,21,0,48
185,56,3,2822,2822,2961,84,0,140
186,43,3,2844,2844,2959,73,0,116
187,50,3,2874,2875,3007,84,1,134
188,14,7,2910,3497,3510,587,587,601
189,33,0,2943,2945,3012,37,2,70
190,23,4,2980,3021,3268,266,41,289
191,39,4,3048,3054,3427,341,6,380
192,15,0,3102,3102,3116,0,0,15
193,46,4,3130,3137,3481,306,7,352
194,13,5,3175,3183,3337,150,8,163
195,52,4,3194,3203,3496,251,9,303
196,18,2,3240,3240,3257,0,0,18
197,22,1,3279,3279,3300,0,0,22
198,72,6,3322,73,420,0,,72
199,35,6,3353,3359,3492,105,6,140
200,43,2,3388,29,71,0,,43
,,,,,,,,
,,,,,Min,0,0,8
,,,,,Mean,264.68,66.32,300.52
,,,,,Max,3156,3156,3207
,,,,,StdDev,426.96,378.55,431.76
